蓝光频道,#genre#
CCTV14 CQ,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226461/1.m3u8
CCTV15 HD,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226460/1.m3u8
CCTV15 HD,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226333/1.m3u8
CCTV17 HD,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226318/1.m3u8
CCTV17 CQ,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226459/1.m3u8
中国教育1 CQ,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226494/1.m3u8
央视江西,#genre#
CCTV-1,http://39.134.115.163:8080/PLTV/88888910/224/3221225618/index.m3u8
CCTV-2,http://39.134.115.163:8080/PLTV/88888910/224/3221225619/index.m3u8
CCTV-3,http://39.134.115.163:8080/PLTV/88888910/224/3221225647/index.m3u8
CCTV-4,http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8
CCTV-5,http://39.134.115.163:8080/PLTV/88888910/224/3221225633/index.m3u8
CCTV-5+,http://39.134.115.163:8080/PLTV/88888910/224/3221225649/index.m3u8
CCTV-6,http://39.134.115.163:8080/PLTV/88888910/224/3221225650/index.m3u8
CCTV-7,http://39.134.115.163:8080/PLTV/88888910/224/3221225624/index.m3u8
CCTV-8,http://39.134.115.163:8080/PLTV/88888910/224/3221225635/index.m3u8
CCTV-9,http://39.134.115.163:8080/PLTV/88888910/224/3221225626/index.m3u8
CCTV-10,http://39.134.115.163:8080/PLTV/88888910/224/3221225627/index.m3u8
CCTV-11,http://39.134.115.163:8080/PLTV/88888910/224/3221225628/index.m3u8
CCTV-12,http://39.134.115.163:8080/PLTV/88888910/224/3221225629/index.m3u8
CCTV-13,http://39.134.115.163:8080/PLTV/88888910/224/3221225638/index.m3u8
CCTV-14,http://39.134.115.163:8080/PLTV/88888910/224/3221225639/index.m3u8
CCTV-15,http://39.134.115.163:8080/PLTV/88888910/224/3221225641/index.m3u8
CCTV-17,http://39.134.115.163:8080/PLTV/88888910/224/3221225908/index.m3u8
CCTV1,http://39.135.43.69:80/PLTV/88888888/224/3221226585/index.m3u8
CCTV2,http://39.135.43.69:80/PLTV/88888888/224/3221226722/index.m3u8
CCTV3,http://39.135.43.69:80/PLTV/88888888/224/3221226491/index.m3u8
CCTV4,http://39.135.43.69:80/PLTV/88888888/224/3221226412/index.m3u8
CCTV5,http://39.134.115.163:8080/PLTV/88888910/224/3221225795/index.m3u8
CCTV5,http://39.135.43.69:80/PLTV/88888888/224/3221226485/index.m3u8
CCTV5+,http://39.135.43.69:80/PLTV/88888888/224/3221226771/index.m3u8
CCTV6,http://39.135.43.69:80/PLTV/88888888/224/3221226483/index.m3u8
CCTV7,http://39.135.43.69:80/PLTV/88888888/224/3221226495/index.m3u8
CCTV8,http://39.135.43.69:80/PLTV/88888888/224/3221226732/index.m3u8
CCTV9,http://39.135.43.69:80/PLTV/88888888/224/3221226507/index.m3u8
CCTV10,http://39.135.43.69:80/PLTV/88888888/224/3221226428/index.m3u8
CCTV11,http://39.135.43.69:80/PLTV/88888888/224/3221226434/index.m3u8
CCTV12,http://39.135.43.69:80/PLTV/88888888/224/3221226499/index.m3u8
CCTV13,http://39.135.43.69:80/PLTV/88888888/224/3221226418/index.m3u8
CCTV14,http://39.135.43.69:80/PLTV/88888888/224/3221226724/index.m3u8
CCTV15,http://39.135.43.69:80/PLTV/88888888/224/3221226426/index.m3u8
CCTV17,http://39.135.43.69:80/PLTV/88888888/224/3221226494/index.m3u8
CCTV央视台球,http://117.187.54.44/gz.ucdn.10086.cn/PLTV/88888888/224/3221226156/01.m3u8?fmt=ts2hls
CCTV怀旧剧场,http://117.187.54.44/gz.ucdn.10086.cn/PLTV/88888888/224/3221225765/01.m3u8?fmt=ts2hls
CCTV第一剧场,http://117.187.54.44/gz.ucdn.10086.cn/PLTV/88888888/224/3221226124/01.m3u8?fmt=ts2hls
CCTV风云剧场,http://117.187.54.44/gz.ucdn.10086.cn/PLTV/88888888/224/3221226107/01.m3u8?fmt=ts2hls
CCTV风云音乐,http://117.187.54.44/gz.ucdn.10086.cn/PLTV/88888888/224/3221226083/01.m3u8?fmt=ts2hls
CCTV风云足球,http://117.187.54.44/gz.ucdn.10086.cn/PLTV/88888888/224/3221226153/01.m3u8?fmt=ts2hls
CCTV兵器科技,http://117.187.54.44/gz.ucdn.10086.cn/PLTV/88888888/224/3221225676/01.m3u8?fmt=ts2hls
CCTV世界地理,http://117.187.54.44/gz.ucdn.10086.cn/PLTV/88888888/224/3221225733/01.m3u8?fmt=ts2hls
CCTV女性时尚,http://117.187.54.44/gz.ucdn.10086.cn/PLTV/88888888/224/3221226104/01.m3u8?fmt=ts2hls
CCTV央视文化精品,http://117.187.54.44/gz.ucdn.10086.cn/PLTV/88888888/224/3221225675/01.m3u8?fmt=ts2hls
央视二套,#genre#
CCTV-1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225769/index.m3u8
CCTV-2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225747/index.m3u8
CCTV-3,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225606/index.m3u8
CCTV-4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225590/index.m3u8
CCTV-5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225591/index.m3u8
CCTV-5+,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225689/index.m3u8
CCTV-6,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225607/index.m3u8
CCTV-7,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV-8,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225750/index.m3u8
CCTV-9,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV-10,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV-11,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8
CCTV-12,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV-13,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225599/index.m3u8
CCTV-14,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225678/index.m3u8
CCTV-15,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8
CCTV-17,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
CGTN,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225604/index.m3u8
CGTN记录,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225602/index.m3u8
CETV-1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225652/index.m3u8
央视三套,#genre#
CCTV1,http://39.135.138.59:18890/PLTV/88888910/224/3221225618/index.m3u8
CCTV1,http://39.135.138.59:18890/PLTV/88888910/224/3221225762/index.m3u8
CCTV1,http://39.135.138.59:18890/PLTV/88888910/224/3221225844/index.m3u8
CCTV1,http://39.135.138.59:18890/PLTV/88888910/224/3221225918/index.m3u8
CCTV1,http://39.135.138.59:18890/PLTV/88888910/224/3221225642/index.m3u8
CCTV1,http://39.135.138.59:18890/PLTV/88888910/224/3221225790/index.m3u8
CCTV1,http://ivi.bupt.edu.cn/hls/cctv1hd.m3u8
CCTV1,rtmp://ivi.bupt.edu.cn:1935/livetv/cctv1hd
CCTV2,http://101.71.255.229:6610/zjhs/2/10089/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV2,rtmp://ivi.bupt.edu.cn:1935/livetv/cctv2hd
CCTV2,http://39.135.138.59:18890/PLTV/88888910/224/3221225619/index.m3u8
CCTV2,http://39.135.138.59:18890/PLTV/88888910/224/3221225819/index.m3u8
CCTV2,http://39.135.138.59:18890/PLTV/88888910/224/3221225643/index.m3u8
CCTV2,http://39.135.138.59:18890/PLTV/88888910/224/3221225820/index.m3u8
CCTV3,http://39.135.138.59:18890/PLTV/88888910/224/3221225647/index.m3u8
CCTV3,http://ivi.bupt.edu.cn/hls/cctv3hd.m3u8
CCTV3,rtmp://ivi.bupt.edu.cn:1935/livetv/cctv3hd
CCTV3,http://39.135.138.59:18890/PLTV/88888910/224/3221225634/index.m3u8
CCTV4,http://101.71.255.229:6610/zjhs/2/10090/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV4,http://39.135.138.59:18890/PLTV/88888910/224/3221225621/index.m3u8
CCTV4,http://39.135.138.59:18890/PLTV/88888910/224/3221225842/index.m3u8
CCTV4,http://39.135.138.59:18890/PLTV/88888910/224/3221225841/index.m3u8
CCTV5,http://39.135.138.59:18890/PLTV/88888910/224/3221225633/index.m3u8
CCTV5,http://112.17.40.145/PLTV/88888888/224/3221226687/index.m3u8
CCTV5+,http://39.135.138.59:18890/PLTV/88888910/224/3221225649/index.m3u8
CCTV5+,http://ivi.bupt.edu.cn/hls/cctv5phd.m3u8
CCTV5+,http://39.135.138.59:18890/PLTV/88888910/224/3221225706/index.m3u8
CCTV6,http://39.135.138.59:18890/PLTV/88888910/224/3221225650/index.m3u8
CCTV6,http://ivi.bupt.edu.cn/hls/cctv6hd.m3u8
CCTV6,rtmp://ivi.bupt.edu.cn:1935/livetv/cctv6hd
CCTV6,http://39.135.138.59:18890/PLTV/88888910/224/3221225632/index.m3u8
CCTV6,http://223.110.243.139/PLTV/3/224/3221225548/index.m3u8
CCTV7,http://101.71.255.229:6610/zjhs/2/10091/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
